observation	subject	trial	gap_size	target_size	correct_side	dots_left	dots_right	dotpair_id	vagueness	Text	is_error	rt
188	3	60	Big	Small	Right	7	3	7:3	Vague	few	0	674
189	3	61	Small	Big	Left	5	3	3:5	Vague	many	0	623
190	3	62	Small	Big	Left	4	2	2:4	Crisp	four	0	612
191	3	63	Big	Big	Right	2	6	2:6	Crisp	six	0	585
192	3	64	Small	Small	Right	4	2	2:4	Vague	few	0	1106
193	4	1	Small	Big	Left	9	7	7:9	Crisp	nine	0	3945
194	4	2	Big	Small	Left	2	6	2:6	Crisp	two	0	1286
195	4	3	Big	Big	Left	6	2	2:6	Vague	many	0	1388
196	4	4	Big	Small	Left	3	7	7:3	Vague	few	0	1269
197	4	5	Small	Small	Right	9	7	7:9	Vague	few	0	1819
198	4	6	Big	Small	Right	7	3	7:3	Crisp	three	0	1245
199	4	7	Big	Small	Left	4	8	8:4	Vague	few	0	1586
200	4	8	Big	Small	Left	4	8	8:4	Crisp	four	0	1205
201	4	9	Big	Small	Right	7	3	7:3	Vague	few	0	1149
202	4	10	Small	Big	Right	2	4	2:4	Crisp	four	1	1159
203	4	11	Big	Big	Left	9	5	5:9	Vague	many	0	1676
204	4	12	Small	Big	Right	3	5	3:5	Vague	many	0	1732
205	4	13	Big	Small	Right	9	5	5:9	Vague	few	0	1402
206	4	14	Small	Big	Right	6	8	6:8	Crisp	eight	1	1394
207	4	15	Big	Big	Right	2	6	2:6	Crisp	six	0	1342
208	4	16	Small	Big	Left	5	3	3:5	Crisp	five	0	2208
209	4	17	Small	Big	Right	7	9	7:9	Crisp	nine	0	2619
210	4	18	Small	Small	Right	4	2	2:4	Vague	few	0	1937
211	4	19	Small	Big	Right	2	4	2:4	Vague	many	0	1512
212	4	20	Small	Small	Right	8	6	6:8	Crisp	six	0	2062
213	4	21	Big	Small	Left	5	9	5:9	Crisp	five	0	1936
214	4	22	Big	Big	Left	9	5	5:9	Crisp	nine	0	1830
215	4	23	Big	Big	Left	7	3	7:3	Vague	many	0	1265
216	4	24	Small	Small	Right	5	3	3:5	Vague	few	0	1110
217	4	25	Big	Small	Right	8	4	8:4	Vague	few	0	1732
218	4	26	Small	Small	Left	3	5	3:5	Crisp	three	0	943
219	4	27	Big	Big	Left	8	4	8:4	Crisp	eight	0	2096
220	4	28	Big	Big	Right	5	9	5:9	Vague	many	0	1031
221	4	29	Big	Big	Right	3	7	7:3	Crisp	seven	0	1054
222	4	30	Small	Big	Left	4	2	2:4	Vague	many	0	1083
223	4	31	Big	Big	Left	8	4	8:4	Vague	many	0	1384
224	4	32	Big	Small	Left	3	7	7:3	Crisp	three	0	1078
225	4	33	Small	Small	Right	9	7	7:9	Crisp	seven	0	1626
226	4	34	Big	Big	Right	4	8	8:4	Vague	many	0	1242
227	4	35	Big	Big	Left	6	2	2:6	Crisp	six	0	1041
228	4	36	Small	Big	Right	3	5	3:5	Crisp	five	0	1581
229	4	37	Big	Big	Right	5	9	5:9	Crisp	nine	0	2336
230	4	38	Small	Small	Right	8	6	6:8	Vague	few	0	1104
231	4	39	Big	Big	Left	7	3	7:3	Crisp	seven	0	1084
232	4	40	Small	Small	Left	6	8	6:8	Crisp	six	0	1470
233	4	41	Small	Small	Left	2	4	2:4	Crisp	two	0	1436
234	4	42	Small	Small	Left	7	9	7:9	Crisp	seven	0	1939
235	4	43	Small	Small	Left	7	9	7:9	Vague	few	0	2647
236	4	44	Small	Big	Left	8	6	6:8	Crisp	eight	0	2162
237	4	45	Small	Big	Right	6	8	6:8	Vague	many	0	1398
238	4	46	Big	Big	Right	2	6	2:6	Vague	many	0	2088
239	4	47	Small	Small	Left	6	8	6:8	Vague	few	0	2024
240	4	48	Big	Small	Right	6	2	2:6	Crisp	two	0	961
241	4	49	Small	Small	Right	4	2	2:4	Crisp	two	0	1490
242	4	50	Big	Big	Right	3	7	7:3	Vague	many	1	1048
243	4	51	Small	Big	Right	7	9	7:9	Vague	many	0	3561
244	4	52	Small	Big	Left	5	3	3:5	Vague	many	0	2084
245	4	53	Small	Small	Left	3	5	3:5	Vague	few	0	1485
246	4	54	Big	Small	Right	8	4	8:4	Crisp	four	0	1403
247	4	55	Big	Big	Right	4	8	8:4	Crisp	eight	0	1876
248	4	56	Small	Big	Left	8	6	6:8	Vague	many	0	1155
249	4	57	Small	Big	Left	4	2	2:4	Crisp	four	0	1203
250	4	58	Small	Small	Right	5	3	3:5	Crisp	three	0	1418
251	4	59	Big	Small	Left	2	6	2:6	Vague	few	1	1857
252	4	60	Big	Small	Left	5	9	5:9	Vague	few	0	2371
253	4	61	Big	Small	Right	9	5	5:9	Crisp	five	0	1137
254	4	62	Small	Big	Left	9	7	7:9	Vague	many	0	3154
255	4	63	Small	Small	Left	2	4	2:4	Vague	few	0	1779
256	4	64	Big	Small	Right	6	2	2:6	Vague	few	0	1196
257	5	1	Big	Big	Right	5	9	5:9	Crisp	nine	0	1680
258	5	2	Small	Small	Left	3	5	3:5	Crisp	three	0	1117
259	5	3	Small	Big	Right	2	4	2:4	Vague	many	0	1056
260	5	4	Small	Big	Right	2	4	2:4	Crisp	four	0	1116
261	5	5	Big	Big	Left	6	2	2:6	Crisp	six	0	831
262	5	6	Small	Big	Left	5	3	3:5	Vague	many	0	1317
263	5	7	Big	Big	Right	4	8	8:4	Vague	many	0	1120
264	5	8	Small	Big	Right	3	5	3:5	Vague	many	0	922
265	5	9	Small	Big	Left	5	3	3:5	Crisp	five	0	1234
266	5	10	Small	Small	Left	7	9	7:9	Crisp	seven	1	1320
267	5	11	Big	Big	Left	7	3	7:3	Vague	many	0	1358
268	5	12	Big	Small	Left	5	9	5:9	Crisp	five	0	1591
269	5	13	Small	Small	Left	3	5	3:5	Vague	few	0	1224
