"Subject" "Trial" "Item" "c_Itm" "Vagueness" "c_Vag" "Selection" "c_Sel" "Instruction" "Order" "Quantity" "RT" "RT_log" "switchResponse"
"69" "s01" 69 "06:15:24" -0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 10 dots'" "LtoR" "Large" 770 6.64639051484773 "Expected"
"70" "s01" 70 "16:25:34" -0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 20 dots'" "LtoR" "Large" 654 6.4831073514572 "Expected"
"71" "s01" 71 "26:35:44" 0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 40 dots'" "LtoR" "Small" 649 6.47543271670409 "Expected"
"72" "s01" 72 "36:45:54" 0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 54 dots'" "LtoR" "Large" 658 6.48920493132532 "Expected"
"73" "s01" 73 "06:15:24" -0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 20 dots'" "RtoL" "Small" 662 6.49526555593701 "Expected"
"74" "s01" 74 "16:25:34" -0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 30 dots'" "RtoL" "Small" 705 6.55819780281227 "Expected"
"75" "s01" 75 "26:35:44" 0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 30 dots'" "RtoL" "Large" 706 6.55961523749324 "Expected"
"76" "s01" 76 "36:45:54" 0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 40 dots'" "LtoR" "Large" 681 6.52356230614951 "Expected"
"77" "s01" 77 "06:15:24" -0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 24 dots'" "LtoR" "Large" 671 6.50876913697168 "Expected"
"78" "s01" 78 "16:25:34" -0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 30 dots'" "LtoR" "Small" 833 6.72503364216684 "Expected"
"79" "s01" 79 "26:35:44" 0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 26 dots'" "LtoR" "Small" 2718 7.90765159471109 "Near"
"80" "s01" 80 "36:45:54" 0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 40 dots'" "RtoL" "Large" 1047 6.95368421087054 "Expected"
"81" "s01" 81 "06:15:24" -0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 20 dots'" "RtoL" "Large" 767 6.64248680136726 "Expected"
"82" "s01" 82 "16:25:34" -0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 16 dots'" "RtoL" "Small" 1312 7.17930796950403 "Expected"
"83" "s01" 83 "26:35:44" 0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 44 dots'" "RtoL" "Large" 792 6.67456139181443 "Expected"
"84" "s01" 84 "36:45:54" 0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 50 dots'" "RtoL" "Small" 1982 7.59186171488993 "Expected"
"85" "s01" 85 "06:15:24" -0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 20 dots'" "LtoR" "Small" 602 6.40025744530882 "Expected"
"86" "s01" 86 "16:25:34" -0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 20 dots'" "LtoR" "Large" 840 6.73340189183736 "Expected"
"87" "s01" 87 "26:35:44" 0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 40 dots'" "RtoL" "Small" 789 6.67076632084587 "Expected"
"88" "s01" 88 "36:45:54" 0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 50 dots'" "RtoL" "Small" 1077 6.98193467715639 "Expected"
"89" "s01" 89 "06:15:24" -0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 10 dots'" "RtoL" "Small" 1733 7.45760928971561 "Expected"
"90" "s01" 90 "16:25:34" -0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 34 dots'" "LtoR" "Large" 801 6.68586094706836 "Expected"
"91" "s01" 91 "26:35:44" 0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 30 dots'" "LtoR" "Large" 999 6.90675477864855 "Expected"
"92" "s01" 92 "36:45:54" 0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 50 dots'" "LtoR" "Small" 1813 7.50273821075485 "Near"
"93" "s01" 93 "06:15:24" -0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 24 dots'" "RtoL" "Large" 945 6.85118492749374 "Expected"
"94" "s01" 94 "16:25:34" -0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 34 dots'" "RtoL" "Large" 1122 7.02286808608264 "Expected"
"95" "s01" 95 "26:35:44" 0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 40 dots'" "RtoL" "Large" 1139 7.03790596344718 "Expected"
"96" "s01" 96 "36:45:54" 0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 50 dots'" "RtoL" "Large" 1369 7.22183582528845 "Expected"
"97" "s01" 97 "06:15:24" -0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 20 dots'" "LtoR" "Large" 1172 7.06646697013696 "Expected"
"98" "s01" 98 "16:25:34" -0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 30 dots'" "RtoL" "Large" 806 6.69208374250663 "Expected"
"99" "s01" 99 "26:35:44" 0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 44 dots'" "LtoR" "Large" 668 6.50428817353665 "Expected"
"100" "s01" 100 "36:45:54" 0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 40 dots'" "RtoL" "Small" 846 6.74051935960622 "Far"
"101" "s01" 101 "06:15:24" -0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 10 dots'" "LtoR" "Large" 613 6.41836493593621 "Expected"
"102" "s01" 102 "16:25:34" -0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 16 dots'" "LtoR" "Small" 967 6.87419849545329 "Expected"
"103" "s01" 103 "26:35:44" 0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 30 dots'" "LtoR" "Large" 643 6.46614472423762 "Expected"
