"Subject" "Item" "vagueness" "selection" "RT"
"468" 11 4 "vague" "comparison" 3509
"469" 11 1 "crisp" "comparison" 3066
"470" 11 2 "crisp" "comparison" 1794
"471" 11 3 "crisp" "comparison" 2317
"472" 11 4 "crisp" "matching" 4539
"473" 11 1 "crisp" "matching" 4645
"474" 11 2 "vague" "matching" 2388
"475" 11 3 "crisp" "comparison" 2796
"476" 11 4 "vague" "matching" 3313
"477" 11 1 "vague" "matching" 2234
"478" 11 2 "crisp" "comparison" 3660
"479" 11 3 "vague" "comparison" 1905
"480" 11 4 "vague" "matching" 4252
"481" 11 1 "crisp" "comparison" 2842
"482" 11 2 "vague" "matching" 1657
"483" 11 3 "vague" "comparison" 1481
"484" 11 4 "vague" "matching" 4061
"485" 11 1 "vague" "comparison" 4667
"486" 11 2 "vague" "matching" 4080
"487" 11 3 "vague" "matching" 2843
"488" 11 4 "crisp" "comparison" 2467
"489" 11 1 "vague" "comparison" 1582
"490" 11 2 "vague" "comparison" 1584
"491" 11 3 "vague" "matching" 2216
"492" 11 4 "vague" "comparison" 1740
"493" 11 1 "vague" "comparison" 1580
"494" 11 2 "crisp" "matching" 1571
"495" 11 3 "vague" "matching" 5533
"496" 11 4 "crisp" "matching" 2779
"497" 11 1 "crisp" "matching" 4505
"498" 11 2 "crisp" "matching" 2366
"499" 11 3 "vague" "matching" 2254
"500" 11 4 "crisp" "comparison" 3606
"501" 11 1 "vague" "comparison" 1990
"502" 11 2 "crisp" "matching" 2458
"503" 11 3 "crisp" "matching" 3909
"504" 11 4 "vague" "comparison" 1833
"505" 11 1 "vague" "matching" 3849
"506" 11 2 "crisp" "comparison" 2559
"507" 11 3 "vague" "comparison" 2670
"508" 11 4 "vague" "comparison" 3140
"509" 11 1 "crisp" "matching" 2379
"510" 11 2 "vague" "comparison" 1848
"511" 11 3 "crisp" "matching" 2056
"512" 11 4 "crisp" "comparison" 5715
"513" 11 1 "crisp" "comparison" 2275
"514" 11 2 "crisp" "matching" 1623
"515" 11 3 "vague" "comparison" 3396
"516" 11 4 "vague" "matching" 3050
"517" 11 1 "vague" "comparison" 1868
"518" 11 2 "crisp" "comparison" 3077
"519" 11 3 "vague" "matching" 1894
