"Subject" "Item" "id" "Trial" "Vagueness" "Selection" "Order" "Quantity" "Instruction" "nchar_instr" "RT" "RT_raw" "RT_log" "RTprev_log" "RTprev_raw" "rt_instr" "response_cat"
"66" "s01" "16:25:34" "s01:t066" 66 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 30 dots'" 36 855 855 6.75110146893676 6.51619307604296 676 763 "Expected"
"67" "s01" "26:35:44" "s01:t067" 67 "Vague" "Comparison" "LtoR" "Small" "'Choose a square with far fewer than 40 dots'" 45 640 640 6.46146817635372 6.75110146893676 855 632 "Expected"
"68" "s01" "36:45:54" "s01:t068" 68 "Crisp" "Matching" "RtoL" "Large" "'Choose a square with 54 dots'" 30 693 693 6.5410299991899 6.46146817635372 640 512 "Expected"
"69" "s01" "06:15:24" "s01:t069" 69 "Crisp" "Comparison" "LtoR" "Large" "'Choose a square with more than 10 dots'" 40 770 770 6.64639051484773 6.5410299991899 693 443 "Expected"
"70" "s01" "16:25:34" "s01:t070" 70 "Vague" "Comparison" "LtoR" "Large" "'Choose a square with far more than 20 dots'" 44 654 654 6.4831073514572 6.64639051484773 770 655 "Expected"
"71" "s01" "26:35:44" "s01:t071" 71 "Crisp" "Comparison" "LtoR" "Small" "'Choose a square with fewer than 40 dots'" 41 649 649 6.47543271670409 6.4831073514572 654 791 "Expected"
"72" "s01" "36:45:54" "s01:t072" 72 "Crisp" "Matching" "LtoR" "Large" "'Choose a square with 54 dots'" 30 658 658 6.48920493132532 6.47543271670409 649 385 "Expected"
"73" "s01" "06:15:24" "s01:t073" 73 "Crisp" "Comparison" "RtoL" "Small" "'Choose a square with fewer than 20 dots'" 41 662 662 6.49526555593701 6.48920493132532 658 563 "Expected"
"74" "s01" "16:25:34" "s01:t074" 74 "Vague" "Comparison" "RtoL" "Small" "'Choose a square with far fewer than 30 dots'" 45 705 705 6.55819780281227 6.49526555593701 662 726 "Expected"
"75" "s01" "26:35:44" "s01:t075" 75 "Crisp" "Comparison" "RtoL" "Large" "'Choose a square with more than 30 dots'" 40 706 706 6.55961523749324 6.55819780281227 705 592 "Expected"
"76" "s01" "36:45:54" "s01:t076" 76 "Vague" "Comparison" "LtoR" "Large" "'Choose a square with far more than 40 dots'" 44 681 681 6.52356230614951 6.55961523749324 706 617 "Expected"
"77" "s01" "06:15:24" "s01:t077" 77 "Crisp" "Matching" "LtoR" "Large" "'Choose a square with 24 dots'" 30 671 671 6.50876913697168 6.52356230614951 681 498 "Expected"
"78" "s01" "16:25:34" "s01:t078" 78 "Vague" "Comparison" "LtoR" "Small" "'Choose a square with far fewer than 30 dots'" 45 833 833 6.72503364216684 6.50876913697168 671 558 "Expected"
"79" "s01" "26:35:44" "s01:t079" 79 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 26 dots'" 30 2718 2718 7.90765159471109 6.72503364216684 833 530 "Near"
"80" "s01" "36:45:54" "s01:t080" 80 "Crisp" "Comparison" "RtoL" "Large" "'Choose a square with more than 40 dots'" 40 1047 1047 6.95368421087054 7.90765159471109 2718 507 "Expected"
"81" "s01" "06:15:24" "s01:t081" 81 "Vague" "Matching" "RtoL" "Large" "'Choose a square with about 20 dots'" 36 767 767 6.64248680136726 6.95368421087054 1047 505 "Expected"
"82" "s01" "16:25:34" "s01:t082" 82 "Crisp" "Matching" "RtoL" "Small" "'Choose a square with 16 dots'" 30 1312 1312 7.17930796950403 6.64248680136726 767 490 "Expected"
"83" "s01" "26:35:44" "s01:t083" 83 "Crisp" "Matching" "RtoL" "Large" "'Choose a square with 44 dots'" 30 792 792 6.67456139181443 7.17930796950403 1312 439 "Expected"
"84" "s01" "36:45:54" "s01:t084" 84 "Crisp" "Comparison" "RtoL" "Small" "'Choose a square with fewer than 50 dots'" 41 1982 1982 7.59186171488993 6.67456139181443 792 523 "Expected"
"85" "s01" "06:15:24" "s01:t085" 85 "Crisp" "Comparison" "LtoR" "Small" "'Choose a square with fewer than 20 dots'" 41 602 602 6.40025744530882 7.59186171488993 1982 543 "Expected"
"86" "s01" "16:25:34" "s01:t086" 86 "Crisp" "Comparison" "LtoR" "Large" "'Choose a square with more than 20 dots'" 40 840 840 6.73340189183736 6.40025744530882 602 532 "Expected"
"87" "s01" "26:35:44" "s01:t087" 87 "Crisp" "Comparison" "RtoL" "Small" "'Choose a square with fewer than 40 dots'" 41 789 789 6.67076632084587 6.73340189183736 840 522 "Expected"
"88" "s01" "36:45:54" "s01:t088" 88 "Vague" "Comparison" "RtoL" "Small" "'Choose a square with far fewer than 50 dots'" 45 1077 1077 6.98193467715639 6.67076632084587 789 745 "Expected"
"89" "s01" "06:15:24" "s01:t089" 89 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 10 dots'" 36 1733 1733 7.45760928971561 6.98193467715639 1077 645 "Expected"
